date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
01:48:00	18468/18468	---M-Z	200	added ('OK')	text/css	date:Thu,%2006%20Apr%202023%2012:24:11%20GMT	https://coredgex.com/wp-content/plugins/elementor/assets/lib/animations/animations.min9e95.css?ver=3.8.0	C:/Users/USER/Documents/Projects/farmfinance/coredgex.com/wp-content/plugins/elementor/assets/lib/animations/animations.min9e959e95.css	(from https://coredgex.com/)
01:48:01	4957/4957	---M-Z	200	added ('OK')	application/javascript	date:Thu,%2006%20Apr%202023%2011:24:11%20GMT	https://coredgex.com/wp-content/plugins/elementor/assets/js/webpack.runtime.min.js?ver=3.8.0	C:/Users/USER/Documents/Projects/farmfinance/coredgex.com/wp-content/plugins/elementor/assets/js/webpack.runtime.min9e95.js	(from https://coredgex.com/)
01:48:01	32947/32947	---M-Z	200	added ('OK')	application/javascript	date:Thu,%2006%20Apr%202023%2011:24:11%20GMT	https://coredgex.com/wp-content/plugins/elementor/assets/js/frontend-modules.min.js?ver=3.8.0	C:/Users/USER/Documents/Projects/farmfinance/coredgex.com/wp-content/plugins/elementor/assets/js/frontend-modules.min9e95.js	(from https://coredgex.com/)
01:48:01	16935/16935	---M-Z	200	added ('OK')	application/javascript	date:Thu,%2006%20Apr%202023%2011:24:11%20GMT	https://coredgex.com/wp-content/themes/astra/assets/js/minified/frontend.min2e46.js?ver=3.9.2	C:/Users/USER/Documents/Projects/farmfinance/coredgex.com/wp-content/themes/astra/assets/js/minified/frontend.min2e462e46.js	(from https://coredgex.com/)
01:48:02	81906/81906	---M-Z	200	added ('OK')	application/javascript	date:Thu,%2006%20Apr%202023%2011:24:11%20GMT	https://coredgex.com/wp-content/plugins/cryptocurrency-widgets-pack/assets/public/js/jquery.dataTables.minc245.js?ver=1.8.1	C:/Users/USER/Documents/Projects/farmfinance/coredgex.com/wp-content/plugins/cryptocurrency-widgets-pack/assets/public/js/jquery.dataTables.minc245c245.js	(from https://coredgex.com/)
01:48:02	12808/12808	---M-Z	200	added ('OK')	application/javascript	date:Thu,%2006%20Apr%202023%2011:24:11%20GMT	https://coredgex.com/wp-content/plugins/cryptocurrency-widgets-pack/assets/public/js/dataTables.responsive.minc245.js?ver=1.8.1	C:/Users/USER/Documents/Projects/farmfinance/coredgex.com/wp-content/plugins/cryptocurrency-widgets-pack/assets/public/js/dataTables.responsive.minc245c245.js	(from https://coredgex.com/)
01:48:02	13862/13862	---M-Z	200	added ('OK')	application/javascript	date:Thu,%2006%20Apr%202023%2011:24:11%20GMT	https://coredgex.com/wp-content/plugins/cryptocurrency-widgets-pack/assets/public/js/commonc245.js?ver=1.8.1	C:/Users/USER/Documents/Projects/farmfinance/coredgex.com/wp-content/plugins/cryptocurrency-widgets-pack/assets/public/js/commonc245c245.js	(from https://coredgex.com/)
01:48:02	22731/22731	---M-Z	200	added ('OK')	application/javascript	date:Fri,%2014%20Apr%202023%2008:19:21%20GMT	https://coredgex.com/wp-content/plugins/gtranslate/js/float9b30.js?ver=6.3.1	C:/Users/USER/Documents/Projects/farmfinance/coredgex.com/wp-content/plugins/gtranslate/js/float9b309b30.js	(from https://coredgex.com/)
01:48:03	1238/1238	---M--	404	error ('Not%20Found')	text/html	date:Sun,%2003%20Mar%202024%2000:48:03%20GMT	https://coredgex.com/wp-content/plugins/elementor/assets/js/webpack.runtime.min9e95.js?ver=3.8.0	C:/Users/USER/Documents/Projects/farmfinance/coredgex.com/wp-content/plugins/elementor/assets/js/webpack.runtime.min9e959e95.js	(from https://coredgex.com/)
01:48:03	1238/1238	---M--	404	error ('Not%20Found')	text/html	date:Sun,%2003%20Mar%202024%2000:48:03%20GMT	https://coredgex.com/wp-content/plugins/elementor/assets/js/frontend-modules.min9e95.js?ver=3.8.0	C:/Users/USER/Documents/Projects/farmfinance/coredgex.com/wp-content/plugins/elementor/assets/js/frontend-modules.min9e959e95.js	(from https://coredgex.com/)
01:48:04	12198/12198	---M-Z	200	added ('OK')	application/javascript	date:Thu,%2006%20Apr%202023%2011:24:11%20GMT	https://coredgex.com/wp-content/plugins/elementor/assets/lib/waypoints/waypoints.min05da.js?ver=4.0.2	C:/Users/USER/Documents/Projects/farmfinance/coredgex.com/wp-content/plugins/elementor/assets/lib/waypoints/waypoints.min05da05da.js	(from https://coredgex.com/)
01:48:04	21438/21438	---M-Z	200	added ('OK')	application/javascript	date:Thu,%2006%20Apr%202023%2011:24:09%20GMT	https://coredgex.com/wp-includes/js/jquery/ui/core.min3f14.js?ver=1.13.2	C:/Users/USER/Documents/Projects/farmfinance/coredgex.com/wp-includes/js/jquery/ui/core.min3f143f14.js	(from https://coredgex.com/)
01:48:04	40546/40546	---M-Z	200	added ('OK')	application/javascript	date:Thu,%2006%20Apr%202023%2011:24:11%20GMT	https://coredgex.com/wp-content/plugins/elementor/assets/js/frontend.min9e95.js?ver=3.8.0	C:/Users/USER/Documents/Projects/farmfinance/coredgex.com/wp-content/plugins/elementor/assets/js/frontend.min9e959e95.js	(from https://coredgex.com/)
01:48:05	18833/18833	---M-Z	200	added ('OK')	application/javascript	date:Thu,%2006%20Apr%202023%2011:24:09%20GMT	https://coredgex.com/wp-includes/js/underscore.mind584.js?ver=1.13.4	C:/Users/USER/Documents/Projects/farmfinance/coredgex.com/wp-includes/js/underscore.mind584d584.js	(from https://coredgex.com/)
01:48:05	1426/1426	---M-Z	200	added ('OK')	application/javascript	date:Thu,%2006%20Apr%202023%2011:24:09%20GMT	https://coredgex.com/wp-includes/js/wp-util.min9b30.js?ver=6.3.1	C:/Users/USER/Documents/Projects/farmfinance/coredgex.com/wp-includes/js/wp-util.min9b309b30.js	(from https://coredgex.com/)
